Source,Target
Roentgenium,Einsteinium
Asia,Guangzhou
Solomon_Islands,Kuwait
Palmyra_Atoll,Indonesia
Switzerland,Canada
Hydrogen_peroxide,Carbon_dioxide
Order_of_the_Bath,Edward_VI_of_England
Government,Belarus
Theropoda,Magellanic_Penguin
Northwest_Africa,Ecuador
Bird_of_prey,Raven
Church_of_England,John_of_England
Australian_Green_Tree_Frog,Cassowary
Falkland_Islands,Nicaragua
Netherlands,Barbados
Iran,England
Democratic_Republic_of_the_Congo,Republic_of_China
Indonesia,Malawi
Victoria_of_the_United_Kingdom,Scotland_in_the_High_Middle_Ages
Prague,Monaco
Rugby_football,Canada
South_Korea,Gabon
England,Amsterdam
Antigua_and_Barbuda,Gibraltar
Bottlenose_Dolphin,Amazon_Rainforest
HD_217107,Mercury_(planet)
Greek_War_of_Independence,Ancient_Rome
Barbados,Côte_d'Ivoire
Judaism,Hinduism
Mexico_City,India
Sierra_Leone,Mauritania
Saint_Helena,Europe
Zambia,Suriname
Red_giant,Argon
Tuvalu,Haiti
Elephant_bird,Amazon_Rainforest
Peregrine_Falcon,Mammal
Aye-aye,Peregrine_Falcon
Constantine_I,5th_century
Mirabilis_(plant),Albatross
Bhutan,Cambodia
Quartz,Fossil
Adelaide,Japan
Sugarcane,Cotton
Korea,Guangzhou
Singapore,Beijing
Bird_of_prey,Tree_frog
Maya_mythology,Ancient_history
Cuba,England
George_I_of_Great_Britain,James_II_of_England
Tajikistan,Nigeria
Lake_Turkana,River
Turin,Paris
Swaziland,Bucharest
Swaziland,Democratic_Republic_of_the_Congo
Coconut,Senegal
Argentina,South_America
Canadian_English,United_States
Moon,Uranus
Book,Language
Crocodile,Tree_frog
Costa_Rica,Myanmar
Libya,Haiti
FIFA,Austria
Malta,The_Hague
Zimbabwe,Tehran
Antarctica,Barbados
6th_century,Latin
Germany,Saudi_Arabia
Bottlenose_Dolphin,Carnivore
Uzbekistan,Sultan
Gallium,Lithium
Belarus,City
Reed_Warbler,Arctic_Tern
Scelidosaurus,Beaver
Hamburg,Vienna
Phoenix_(spacecraft),Eris_(dwarf_planet)
Durham_Cathedral,Anne_of_Great_Britain
Polish-Lithuanian_Commonwealth,Spain
Israel,FIFA
Meteor,Meteorology
China,Religion
Dove,Chimpanzee
Baltic_Sea,Maldives
Mausoleum_of_Maussollos,Ancient_Egypt
Science,Evolution
13th_century,8th_century
Florida,Ireland
Silicon,Silver
Krypton,Ice
Colorado_River,Nicaragua
Selenium,Xenon
East_Timor,French_Guiana
Blue_shark,Antelope
Monaco,Barbados
Amazon_River,The_Bahamas
Manchester,Buckingham_Palace
Comet_Halley,Crab_Nebula
Puerto_Rico,Netherlands_Antilles
Jordan,Azerbaijan
Lake_Tahoe,Congo_River
Canterbury_Cathedral,Church_of_Ireland
Lithium,Roentgenium
Politics,Vietnam_War
Carnivore,Cat
Rugby_football,New_Zealand
Uranium,Titanium
Last_Supper,Charlemagne
Uruguay,Thailand
Albatross,Elephant_bird
Kenya,Poland
Southern_Ocean,Rocky_Mountains
Bronze_Age,19th_century
Asia,Morocco
Walrus,Flamingo
Constantine_I,Augustus
Industry,City
China,Film
Great_Crested_Grebe,Mammal
Libya,United_Nations
North_Sea,Azerbaijan
Military_history_of_France,Byzantine_Empire
British_Isles_(terminology),Netherlands
South_Georgia_and_the_South_Sandwich_Islands,South_Africa
Oceania,Eritrea
Macbeth_of_Scotland,Parliament_of_the_United_Kingdom
African_Brush-tailed_Porcupine,Theropoda
Dodo,Flamingo
Republic_of_Macedonia,Southern_Africa
Giganotosaurus,Mammoth
Malawi,Italy
Iran,Vietnam
Europe,Peru
Yemen,Jerusalem
List_of_countries,Continent
Slovakia,Lithuania
Ceres_(dwarf_planet),Gas_giant
Congo_River,Tuvalu
Lake_Tanganyika,Malaria
"Boston,_Massachusetts",Jamaica
Middle_East,Hong_Kong
Brachiosaurus,Fish
Madrid,Milan
Bouvet_Island,Country
Oregon,Germany
Photon,Black_hole
Andes,Gulf_of_Mexico
Thulium,Radium
Football,Italy
George_I_of_Great_Britain,Thomas_Gainsborough
Blue_shark,Platypus
Uranus,History_of_Earth
Malawi,Puerto_Rico
Vanuatu,Belize
River,Currency
Lake_Kariba,Tonga
Indonesia,Mauritania
Rockall,Indian_Ocean
Cambodia,Sub-Saharan_Africa
Samoa,Tuvalu
Zinc,Plutonium
Southern_Africa,U.S._state
Niger_River,Netherlands
Chile,Burkina_Faso
Iron,Saturn
"Washington,_D.C.",Canada
Botswana,Sikkim
Martinique,Mayotte
"Cleveland,_Ohio","Boston,_Massachusetts"
Babylonia,Japan
Luxembourg,Guinea
Nightingale,Bat
Southern_Africa,Nigeria
Afghanistan,Georgia_(country)
Alexander_the_Great,Herodotus
Azerbaijani_people,Bosnia_and_Herzegovina
International_Space_Station,United_Nations
Mali,Republic_of_the_Congo
Colombia,Ireland
Zambia,Guyana
Algeria,Burundi
Nicaragua,Somalia
Weymouth,Isle_of_Wight
Microraptor,Beetle
Comet,Heliocentrism
Sahara,Sea
John_Millington_Synge,William_Shakespeare
Melbourne,Slovakia
Myanmar,East_Africa
Mosque,Tunis
Latvia,Sultan
History_of_South_Africa,Equatorial_Guinea
Middle_Ages,Old_English_language
Metallurgy,Nature
Amsterdam,Country
Colombia,Japan
Nauru,Democratic_Republic_of_the_Congo
Mentha,Potato
Bosnia_and_Herzegovina,Asia
Greece,Dominican_Republic
Poetry_of_the_United_States,New_York_City
Parrot,Cat
Magma,Amber
Church_of_England,Edward_III_of_England
White's_Tree_Frog,Australian_Green_Tree_Frog
Germany,Yemen
Albatross,Starling
Edward_II_of_England,Edward_IV_of_England
Cassowary,Platypus
Sassanid_Empire,Indonesia
Lake_Victoria,Sudan
Electron,Asteroid
Cayman_Islands,Netherlands
North_Atlantic_oscillation,Saint_Lucia
Lithuania,Egypt
Antananarivo,Honduras
Blue_Whale,African_Grey_Hornbill
Malwa_(Madhya_Pradesh),Zambia
Southern_Africa,Lisbon
Greater_Cane_Rat,Peregrine_Falcon
Saxicola,Fauna_of_Australia
Kite_(bird),Chicken
United_States,Angola
Kiribati,Cape_Verde
Tunisia,Armenia
Greece,Palau
Roman_Britain,Hampshire
Beach,Rain
Aruba,Bahamas
British_Isles_(terminology),Saint_Helena
Hundred_Years'_War,Battle_of_Normandy
Peregrine_Falcon,Tree_frog
Mauritius,Barbados
Guinea,Sahara
Peace,Fascism
Pluto,Japan
Belize,South_America
African_Buffalo,Walrus
Mozambique,England
Rainforest,Congo_River
Baruch_Spinoza,Henri_Matisse
United_Kingdom_national_football_team,Guernsey
Brasília,Belgium
Pollution,Natural_gas
Antananarivo,Latin
Electricity,Coal
Baghdad,Namibia
Paris,Barcelona
Caracas,Guyana
Great_Crested_Grebe,Bird_of_prey
Tonga,Singapore
Ecuador,Belize
Wolverine,Bat
Myanmar,Goa
Second_Congo_War,Peace
Mexico_City,Honduras
Spider,Lion
List_of_world's_largest_lakes,World_War_I
Australia,Burkina_Faso
Asunción,Russia
Upsilon_Andromedae_b,Binary_star
Battle_of_Marathon,Crimean_War
Dolphin,Invertebrate
Fermium,Carbon
Sudan,Congo_River
United_Kingdom,Heard_Island_and_McDonald_Islands
Kuala_Lumpur,Dubai
Red_Sea,Atlantis
Tanzania,Romania
Acid_rain,Chemistry
World_Trade_Organization,International_Court_of_Justice
Tropics,Greenland
Svalbard,North_America
Edward_III_of_England,Edward_Gibbon
Mali,Denmark
Malta,Equatorial_Guinea
Thailand,United_Arab_Emirates
Shenzhou_6,Malaysia
Zambia,Amazon_River
Canada_Goose,Peregrine_Falcon
Saudi_Arabia,England
Atlantic_slave_trade,African_Union
Uzbekistan,Central_African_Republic
France,Dominican_Republic
Henry_III_of_England,British_Isles
Western_painting,Mythology
Singapore,Turkmenistan
Asia,Western_Sahara
Zambezi,Ghana
India,Kuwait_City
Bertrand_Russell,Karl_Marx
Swaziland,Iranian_peoples
Elephant_bird,Crow
Uranus,New_moon
Nile,Uruguay
Swaziland,Bangladesh
Elfin-woods_Warbler,Carolus_Linnaeus
Flower,Banana
Liechtenstein,Guinea
Internet,United_Kingdom
Dolphin,Walrus
Rhode_Island,Dominican_Republic
Southern_United_States,Honduras
Istanbul,Ancient_Egypt
Lesotho,Cameroon
Turkey,Nile
Zimbabwe,East_Timor
Lake_Tanganyika,Panama
Volcano,Glacier
Niger,Kazakhstan
Cairo,Sydney
Brighton,Europe
Belarus,Jordan
Indian_Ocean,African_Great_Lakes
Cat,Plant
Francis_Bacon,Oliver_Cromwell
Cape_Verde,Haiti
Khartoum,Johannesburg
Netherlands,Kolkata
Senegal,Bahrain
Baltic_Sea,South_Korea
Ancient_Egypt,Ethiopia
Buenos_Aires,East_Timor
Neptunium,Potassium_iodide
Istanbul,Luxembourg
Gyeongju,Iraq
Energy,Magnetism
Black_Rhinoceros,Vertebrate
Niagara_Falls,Nicaragua
Copper,Phosphorus
Sumatra,"Victoria,_Seychelles"
Tony_Blair,Westminster_System
Equatorial_Guinea,Czech_Republic
Brasília,Florida
Charles_I_of_England,Norman_conquest_of_England
Azerbaijani_people,Switzerland
Norway,Channel_Islands
Maghreb,Iraq
Pluto,Neutron
List_of_countries_by_system_of_government,Nationalism
Mythology,Physics
Mecca,Indonesia
Mosque,Gaza_Strip
Norway,Belgium
Abu_Dhabi,Japan
São_Tomé_and_Príncipe,Cape_Verde
Prague,Zimbabwe
Edward_VII_of_the_United_Kingdom,Alfred_the_Great
Netherlands_Antilles,Ethiopia
Royal_Marines,Royal_Air_Force
Dominican_Republic,Saudi_Arabia
Gulf_of_Mexico,Algeria
Brasília,Poland
Equatorial_Guinea,El_Salvador
Wales,Indian_Ocean
Anglican_Church_of_Australia,Church_of_England
Nigeria,Kuwait_City
Magpie,Raven
Scotland_in_the_High_Middle_Ages,British_Empire
Goose,Albatross
Indian_Ocean,Antigua_and_Barbuda
Gas_giant,Pyrite
Central_African_Republic,Cape_Verde
Archimedes,Rhine
Paris,Croatia
Lyon,Finland
Moldova,Athens
Senegal,Mauritius
Baghdad,Philippines
Comet,Universe
Economics,History
Argon,Gas_giant
List_of_African_countries,Dominican_Republic
Makuria,Zimbabwe
Kenya,Hungary
Hawking_radiation,Universe
Libya,Costa_Rica
New_Zealand,Mediterranean_Sea
Vatican_City,Cameroon
Jakarta,Egypt
Elephant,Carnivore
United_States_Congress,California
California,Florida
Samoa,Cambodia
Falkland_Islands,Guyana
Peterborough_Chronicle,Norman_conquest_of_England
"Los_Angeles,_California",Hong_Kong
Honduras,Somalia
Tutsi,Seychelles
Antigua_and_Barbuda,Niger_River
Congo_River,African_Great_Lakes
Ipswich,British_Isles
Cape_Verde,Singapore
India,Croatia
Heard_Island_and_McDonald_Islands,Cook_Islands
Wars_of_the_Roses,Elizabeth_I_of_England
Latvia,Ghana
Government,Nicaragua
Armadillo,Crocodile
Order_of_the_Thistle,List_of_monarchs_in_the_British_Isles
Glacier,Vanuatu
Hanoi,Asia
Lesotho,Wellington
Anguilla,Vanuatu
Zambia,Monaco
Neodymium,Oxygen
Barbados,East_Africa
Nationality,Currency
Great_white_shark,Extinct_birds
Guyana,Iran
Dolphin,Kangaroo
Woodrow_Wilson,Bill_Clinton
"Boston,_Massachusetts",Russia
Nile,Guatemala
List_of_African_countries,Singapore
Pitcairn_Islands,Papua_New_Guinea
Pretoria,Global_city
Chadian-Sudanese_conflict,Democratic_Republic_of_the_Congo
Saurischia,Spider
Brazil,Jamaica
San_Marino,Yugoslavia
Crimson-collared_Tanager,Cassowary
Elephant_bird,Mammal
Swaziland,"Perth,_Western_Australia"
Cultural_diversity,Country
Papua_New_Guinea,Yangtze_River
11th_century,Roman_Britain
Uruguay,Republic_of_Ireland
Nelson_Mandela,Libya
Insect,Flower
Milan,Athens
Lead,Amber
Second_Congo_War,Burkina_Faso
African_Brush-tailed_Porcupine,Domestic_goat
Benin,Equatorial_Guinea
Peterborough_Chronicle,David_Hume
Namibia,Continent
Parliament_of_Malaysia,Indonesia
The_Bahamas,French_Guiana
Sodium,Titanium
Plato,Sculpture
Outer_Hebrides,Roman_Britain
Scotland_in_the_High_Middle_Ages,Elizabeth_I_of_England
Life,Matter
Prague,Lyon
Lake_Tanganyika,Jakarta
Libya,North_America
French_language,Mediterranean_Sea
Faroe_Islands,Belgium
List_of_French_monarchs,15th_century
Japan,Monaco
Government,United_Kingdom
Middle_East,Great_Britain
